"kind","public_relative_path","source_relative_path","bytes","last_write_time"
"savedexperiment","cases/image145844/project/data_recovered_20260514/matlab_23C/savedexperiments/NV1/1DExp-seq-Rabimodulated-vary-mw_freq-2026-05-13-121554.mat","23-C/savedexperiments/NV1/1DExp-seq-Rabimodulated-vary-mw_freq-2026-05-13-121554.mat","4699","2026-05-13T12:26:04"
"savedexperiment","cases/image145844/project/data_recovered_20260514/matlab_23C/savedexperiments/NV1/1DExp-seq-Rabimodulated-vary-mw_freq-2026-05-13-160024.mat","23-C/savedexperiments/NV1/1DExp-seq-Rabimodulated-vary-mw_freq-2026-05-13-160024.mat","5163","2026-05-13T16:13:09"
"savedexperiment","cases/image145844/project/data_recovered_20260514/matlab_23C/savedexperiments/NV1/1DExp-seq-Rabimodulated-vary-mw_freq-2026-05-13-162726.mat","23-C/savedexperiments/NV1/1DExp-seq-Rabimodulated-vary-mw_freq-2026-05-13-162726.mat","5984","2026-05-13T16:52:37"
"savedexperiment","cases/image145844/project/data_recovered_20260514/matlab_23C/savedexperiments/NV1/1DExp-seq-Rabimodulated-vary-mw_freq-2026-05-13-172017.mat","23-C/savedexperiments/NV1/1DExp-seq-Rabimodulated-vary-mw_freq-2026-05-13-172017.mat","4884","2026-05-13T17:38:08"
"savedexperiment","cases/image145844/project/data_recovered_20260514/matlab_23C/savedexperiments/NV1/1DExp-seq-Rabimodulated-vary-mw_freq-2026-05-13-180435.mat","23-C/savedexperiments/NV1/1DExp-seq-Rabimodulated-vary-mw_freq-2026-05-13-180435.mat","5979","2026-05-13T18:30:44"
"savedexperiment","cases/image145844/project/data_recovered_20260514/matlab_23C/savedexperiments/NV1/1DExp-seq-Rabimodulated-vary-mw_freq-2026-05-13-195452.mat","23-C/savedexperiments/NV1/1DExp-seq-Rabimodulated-vary-mw_freq-2026-05-13-195452.mat","6978","2026-05-13T20:29:24"
"savedexperiment","cases/image145844/project/data_recovered_20260514/matlab_23C/savedexperiments/NV1/1DExp-seq-Rabimodulated-vary-mw_freq-2026-05-14-044122.mat","23-C/savedexperiments/NV1/1DExp-seq-Rabimodulated-vary-mw_freq-2026-05-14-044122.mat","7070","2026-05-14T05:16:41"
"savedexperiment","cases/image145844/project/data_recovered_20260514/matlab_23C/savedexperiments/NV1/1DExp-seq-ramsey-vary-tau-2026-05-13-185521.mat","23-C/savedexperiments/NV1/1DExp-seq-ramsey-vary-tau-2026-05-13-185521.mat","6831","2026-05-13T19:30:39"
"savedexperiment","cases/image145844/project/data_recovered_20260514/matlab_23C/savedexperiments/NV1/1DExp-seq-ramsey-vary-tau-2026-05-13-204940.mat","23-C/savedexperiments/NV1/1DExp-seq-ramsey-vary-tau-2026-05-13-204940.mat","11241","2026-05-13T22:17:10"
"savedexperiment","cases/image145844/project/data_recovered_20260514/matlab_23C/savedexperiments/NV1/1DExp-seq-ramsey-vary-tau-2026-05-13-230350.mat","23-C/savedexperiments/NV1/1DExp-seq-ramsey-vary-tau-2026-05-13-230350.mat","16012","2026-05-14T01:23:46"
"savedexperiment","cases/image145844/project/data_recovered_20260514/matlab_23C/savedexperiments/NV1/1DExp-seq-ramsey-vary-tau-2026-05-14-015440.mat","23-C/savedexperiments/NV1/1DExp-seq-ramsey-vary-tau-2026-05-14-015440.mat","15921","2026-05-14T04:14:59"
"savedexperiment","cases/image145844/project/data_recovered_20260514/matlab_23C/savedexperiments/NV1/1DExp-seq-ramsey-vary-tau-2026-05-14-055200.mat","23-C/savedexperiments/NV1/1DExp-seq-ramsey-vary-tau-2026-05-14-055200.mat","20929","2026-05-14T09:28:24"
"image_scan","cases/image145844/project/data_recovered_20260514/matlab_23C/SavedImages/3DXYZ-Image-2026-05-13-145844.mat","23-C/SavedImages/3DXYZ-Image-2026-05-13-145844.mat","44087","2026-05-13T14:58:44"
